Product_Name_Arabic,Product_Name_English,Price_EGP,Brand,Specifications,Volume_Weight,Availability_Status,Prescription_Required,Product_URL,Category,Page_Number,Form_Type
كريم كارباميد للوجه والمنطقه الحساسة والقدم,Carbamide Cream for face sensitive area and feet,40,Carbamide,For dryness and skin lightening,50 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/carbamide-cream-50-gm,Skin Treatments,1, Cream
كيناكومب كريم للتسلخات وعلاج الالتهابات,Kenacomb Cream for diaper rash and inflammation,36,Kenacomb,For treating inflammations,15 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/kenacomb-cream-15-gm,Skin Treatments,1, Cream
كريم بانثينول للوجه والشعر مرطب فعال,Panthenol Cream for face and hair,80,Panthenol,Effective moisturizer,50 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/panthenol-cream-50-gm,Skin Treatments,1, Cream
إكتوميثرين 5 (بيرميثرين 5٪) للبالغين,Ectomethrin 5 (Permethrin 5%) for adults,55,Ectomethrin,Lotion for adults,50 ml,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/ectomethrin-5-lotion-for-adults-50ml-v1hp,Skin Treatments,1, Solution
بريدوكايين كريم,Pridocaine Cream,55,Pridocaine,Cream product,30 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/pridocaine-cream-30-gm-7wg0,Skin Treatments,1, Cream
ماكرو بانثينول كريم للبشرة الدهنية والجافة,Macro Panthenol Cream for oily and dry skin,60,Macro Panthenol,Suitable for both oily and dry skin,50 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/macro-panthenol-cream-50-gm,Skin Treatments,1, Cream
بيتادين | محلول مطهر للجروح والحروق الطفيفة,Betadine Antiseptic solution for minor wounds and burns,55,Betadine,Antiseptic solution,60 ml,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/betadine-antisepic-solution-60-ml,Skin Treatments,1, Solution
بيفاتراسين بخاخ للحروق للجروح,Bivatracin Spray for burns and wounds,83,Bivatracin,Spray for treating burns and wounds,150 ml,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/bivatracin-spary-150-ml,Skin Treatments,1, Spray
كانديستان 1% كريم موضعي,Candistan 1% Topical Cream,36,Candistan,1% topical cream,40 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/candistan-1-topical-cream-40gm-qctf,Skin Treatments,1, Cream
سيتروبانتين كريم مرطب للجلد,Citropanthen Moisturizing Skin Cream,60,Citropanthen,Moisturizing cream,30 gm,In Stock,Yes,https://chefaa.com:443/eg-ar/nowProduct/citropanthen-cream-30mg-7t8f,Skin Treatments,1, Cream
درموفيت مرهم البني للالتهابات والاكزيما,Dermovate Brown Ointment for inflammations and eczema,44,Dermovate,Brown ointment for inflammations and eczema,25 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/dermovate-oint-005-25gm-l8sx,Skin Treatments,1, Ointment
ايمو سوفت كريم مرطب للبشرة الجافة,Emo Soft Moisturizing Cream for Dry Skin,40,Emo Soft,For dry skin,15 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/emo-soft-15-gm-cream-t1u5,Skin Treatments,1, Cream
